,id,location
0,1,US
1,3,US
2,4,US
3,6,US
4,7,US
5,7,BR
6,8,US
7,14,US
8,18,NL
9,20,GB
10,21,PK
11,22,CZ
12,27,CZ
13,28,NL
14,31,DE
15,32,US
16,33,NL
17,34,RU
18,37,US
19,38,US
20,39,US
21,41,US
22,42,NO
23,44,US
24,46,GB
25,47,US
26,49,IT
27,51,NL
28,52,BR
29,59,GB
30,60,CU
31,63,GB
32,64,US
33,65,NL
34,70,US
35,73,RU
36,74,KW
37,75,CZ
38,77,AU
39,78,IT
40,81,US
41,85,US
42,86,CA
43,87,TR
44,89,US
45,90,US
46,92,US
47,93,CA
48,94,US
49,98,GB
50,100,US
51,102,US
52,103,GB
53,104,US
54,107,BR
55,108,GB
56,110,SE
57,111,FR
58,112,GB
59,114,GB
60,115,NO
61,116,GB
62,117,ZA
63,118,PL
64,119,US
65,120,US
66,121,NO
67,122,IT
68,130,US
69,133,US
70,135,US
71,136,US
72,138,CA
73,139,US
74,140,AU
75,140,CA
76,141,CA
77,146,US
78,148,US
79,150,IN
80,151,BR
81,153,TH
82,154,US
83,157,CA
84,158,IN
85,162,CN
86,163,IN
87,166,US
88,168,FR
89,168,DE
90,169,FR
91,171,GR
92,172,IL
93,173,GB
94,175,FR
95,176,IT
96,179,DE
97,180,SI
98,183,IT
99,185,BE
100,187,IN
101,188,JP
102,197,US
103,200,CY
104,201,US
105,203,QA
106,207,US
107,210,US
108,212,US
109,214,BR
110,219,US
111,220,US
112,221,CZ
113,222,US
114,225,GB
115,228,GB
116,229,IN
117,230,FR
118,232,CZ
119,234,DE
120,235,DE
121,237,GB
122,241,US
123,242,CA
124,244,GB
125,245,DE
126,246,DK
127,248,DE
128,249,ID
129,254,US
130,254,GB
131,259,AU
132,260,US
133,261,US
134,262,US
135,263,US
136,266,US
137,268,IN
138,269,NO
139,270,US
140,272,IN
141,273,GB
142,274,IN
143,276,US
144,279,MX
145,282,US
146,283,CZ
147,284,HR
148,286,IN
149,287,AT
150,289,GB
151,290,DE
152,292,US
153,294,GB
154,295,DE
155,296,DE
156,297,DE
157,298,US
158,299,CU
159,300,US
160,301,US
161,307,ES
162,310,BR
163,311,MX
164,312,US
165,314,AQ
166,322,JP
167,324,RO
168,325,GB
169,328,GB
170,329,US
171,330,HK
172,331,US
173,334,HR
174,336,US
175,339,US
176,340,ES
177,342,NL
178,343,US
179,344,RO
180,345,ES
181,347,AT
182,348,US
183,351,AU
184,352,DE
185,355,US
186,357,US
187,359,GB
188,364,GB
189,365,US
190,367,BG
191,369,TH
192,372,GB
193,374,US
194,376,AR
195,377,NL
196,379,HU
197,380,US
198,383,US
199,389,US
200,390,PL
201,391,GB
202,392,NL
203,394,US
204,398,MX
205,401,RU
206,403,IT
207,404,HU
208,405,CY
209,406,MA
210,407,NO
211,408,BE
212,409,GB
213,411,US
214,417,US
215,419,IN
216,420,IN
217,422,IN
218,423,IN
219,425,PT
220,426,CA
221,429,CA
222,435,GB
223,436,US
224,438,US
225,439,HK
226,441,HR
227,446,DE
228,447,GB
229,448,US
230,453,BR
231,456,US
232,457,BE
233,471,ID
234,474,US
235,478,SE
236,479,DE
237,481,AU
238,482,NL
239,487,NL
240,488,RS
241,489,DE
242,504,AT
243,509,RO
244,515,US
245,524,GB
246,525,GB
247,538,GB
248,539,CA
249,550,DE
250,553,IN
251,554,AR
252,562,US
253,566,US
254,567,IE
255,568,IN
256,570,US
257,571,US
258,573,DE
259,582,IN
260,584,NO
261,588,ZA
262,591,FI
263,592,IN
264,593,NZ
265,594,NP
266,595,JP
267,596,IN
268,606,ZA
269,610,IN
270,615,CN
271,620,US
272,621,NL
273,630,UA
274,632,US
275,634,US
276,636,SK
277,645,GB
278,648,US
279,658,NL
280,658,US
281,660,GB
282,661,CA
283,663,US
284,666,US
285,667,US
286,670,NL
287,672,NL
288,674,DE
289,681,US
290,684,CZ
291,685,US
292,692,JP
293,693,US
294,694,TR
295,695,PK
296,696,GR
297,700,US
298,704,US
299,707,IN
300,712,BG
301,714,KR
302,715,IN
303,718,NL
304,718,US
305,719,US
306,721,US
307,723,US
308,729,GB
309,731,US
310,734,US
311,749,GB
312,752,US
313,757,GB
314,760,US
315,764,GB
316,766,IR
317,768,US
318,772,US
319,780,IN
320,786,IN
321,792,US
322,793,US
323,795,GB
324,799,CL
325,801,US
326,803,HR
327,809,US
328,811,CA
329,815,IL
330,817,IN
331,819,BR
332,821,GB
333,823,US
334,825,BD
335,828,NP
336,830,IE
337,833,BE
338,834,FR
339,836,IN
340,837,US
341,843,IN
342,845,US
343,846,PL
344,847,US
345,852,NO
346,853,US
347,858,DE
348,861,GB
349,862,BE
350,863,CZ
351,866,US
352,870,IN
353,873,DE
354,875,BR
355,876,CA
356,884,BD
357,890,US
358,893,CA
359,895,GB
360,899,RS
361,899,FR
362,904,SE
363,905,US
364,906,NL
365,908,AT
366,909,US
367,911,DE
368,913,US
369,915,US
370,916,US
371,918,TN
372,921,US
373,924,US
374,924,BR
375,929,FR
376,934,US
377,936,IN
378,939,IN
379,940,US
380,942,US
381,943,US
382,948,US
383,950,DE
384,951,US
385,952,IN
386,963,PL
387,966,GB
388,968,AT
389,971,US
390,972,TW
391,974,US
392,975,JO
393,978,CH
394,981,US
395,981,GB
396,983,CA
397,984,US
398,985,US
399,988,SG
400,997,CO
401,998,GB
402,1000,AU
403,1000,CA
404,1001,US
405,1006,US
406,1008,PL
407,1011,US
408,1014,GB
409,1016,PL
410,1019,US
411,1025,US
412,1028,US
413,1029,NZ
414,1030,US
415,1032,TW
416,1041,GB
417,1042,CH
418,1043,CA
419,1046,IT
420,1048,US
421,1049,US
422,1052,US
423,1054,US
424,1056,DE
425,1056,US
426,1058,DE
427,1059,FR
428,1060,IN
429,1062,US
430,1063,FR
431,1064,US
432,1065,US
433,1070,IT
434,1072,US
435,1074,FR
